date,index,targetAt,originalRaw,currentCloseRaw,finalRaw,originalEffective,currentCloseEffective,finalEffective,spy_referencePrice,spy_currentClose,spy_priorAtr14Pct,spy_downsideExcursionPct,spy_acuteCloseDownsidePct,spy_acuteCloseDownsideAtrRatio,spy_shockAtrRatio,spy_realizedMovement60AtrRatio,spy_sessionDrawdownPct,spy_sessionDrawdownAtrRatio,spy_openToCurrentPct,rsp_referencePrice,rsp_currentClose,rsp_priorAtr14Pct,rsp_downsideExcursionPct,rsp_acuteCloseDownsidePct,rsp_acuteCloseDownsideAtrRatio,rsp_shockAtrRatio,rsp_realizedMovement60AtrRatio,rsp_sessionDrawdownPct,rsp_sessionDrawdownAtrRatio,rsp_openToCurrentPct
2022-05-05,19,2022-05-05T18:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,413.45,413.37,0.021988161201008497,0.0018865642762122936,0.00019349377191917787,0.008799906920379644,0.13639855726591263,0.14992793350319178,0.02736470588235293,1.2445199774639562,-0.02633376516311392,148.65,148.55,0.020424698223289472,0.0018836192398251,0.0006727211570803519,0.03293665099606097,0.13504026908385652,0.15275905563615147,0.02366086099244163,1.1584436026311562,-0.022118359554999523
2022-05-05,20,2022-05-05T18:30:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,413.37,411.9899,0.021988161201008497,0.0035077533444613507,0.0033386554418560303,0.15183877411736008,0.3586656065666131,0.21010032945876617,0.030612000000000052,1.3922037281860575,-0.0295845012366035,148.55,148,0.020424698223289472,0.0037024570851565894,0.0037024570851565894,0.1812735270151911,0.3856182301959399,0.23520844802742585,0.02727571475517585,1.3354280419220312,-0.02573892436310976
2022-05-05,21,2022-05-05T18:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,411.9899,412.3,0.021988161201008497,0.0009949273028294948,0,0,0.128050862376385,0.21235575517418326,0.029882352941176443,1.3590200957688938,-0.028854080791426262,148,148.04,0.020424698223289472,0.0010810810810810581,0,0,0.1124764377021641,0.23552956894135318,0.02701281629970433,1.3225564463372432,-0.025475610558883588
2022-05-05,22,2022-05-05T19:00:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,412.3,412.77,0.021988161201008497,0.0002910502061605737,0,0,0.21619907142293332,0.1642924640531134,0.028776470588235337,1.308725651279812,-0.027747026263102215,148.04,148.3699,0.020424698223289472,0,0,0,0.24804275046768146,0.2145322265894653,0.02484456128820246,1.2163979617516794,-0.023303929958528036
2022-05-05,23,2022-05-05T19:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,412.77,410.2399,0.021988161201008497,0.006335247232114759,0.006129563679530985,0.2787665427543732,0.32227664422613467,0.3234584374259886,0.03472964705882358,1.5794702768156297,-0.033706512778235886,148.3699,147.5301,0.020424698223289472,0.005660177704507429,0.005660177704507429,0.2771241779255937,0.2903567089268024,0.3489083880584324,0.030364114360828136,1.486637111054358,-0.028832203278256863
2022-05-05,24,2022-05-05T19:30:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,410.2399,410.03,0.021988161201008497,0.0012429312702152062,0.0005116518407887791,0.02326942376451706,0.18180969496811253,0.2865515895941456,0.03522352941176477,1.6019315617055432,-0.03420091861971508,147.5301,147.44,0.020424698223289472,0.0015596817191881052,0.0006107228287651587,0.029901192276553478,0.18916403548983357,0.29961817862166806,0.0309562931317779,1.515630380109101,-0.029425317622276292
2022-05-05,25,2022-05-05T19:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,410.03,411.68,0.021988161201008497,0.0014389191034801722,0,0,0.3405131043713648,0.3382800351353557,0.03134117647058822,1.4253659587119427,-0.030314450594747355,147.44,147.9,0.020424698223289472,0.0017634291915354782,0,0,0.32210744543189057,0.33604928517659294,0.027932960893854747,1.367607030884006,-0.026397208873675138
2022-05-06,1,2022-05-06T13:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,411.1,407.75,0.024556667791595377,0.00839211870591108,0.008148868888348388,0.33183935856058505,0.40811288276704555,,0.009762731622021958,0.3975592985528474,-0.008148868888348426,147.77,146.26,0.022457217550751897,0.010286255667591596,0.01021858293293645,0.4550244441388652,0.4580378510536894,,0.01021858293293645,0.4550244441388652,-0.010218582932936426
2022-05-10,10,2022-05-10T16:00:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,398.02,397.41,0.026178610306744857,0.00565298226219788,0.001532586302195761,0.058543455295672966,0.22073761832796396,0.2620420717339255,0.02135047281323867,0.8155693737393604,-0.01750352295483193,141.84,141.62,0.024183096416598833,0.0053581500282007255,0.00155104342921601,0.0641375034237304,0.23252760332166772,0.23998906646262672,0.025528108442854247,1.0556178581553446,-0.021488288537276246
2022-05-10,11,2022-05-10T16:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,397.41,396.88,0.026178610306744857,0.003220855036360508,0.0013336352884930664,0.05094370071086082,0.22780485034855405,0.12914835040099007,0.02265563435776199,0.8654254023531883,-0.0188138149274395,141.62,141.43,0.024183096416598833,0.003248128795367942,0.0013416184154780237,0.055477528285301024,0.24234920250947947,0.09010621434632302,0.026835477877933018,1.1096791500824368,-0.022801077869135544
